Name,Status,Batch,Team_size,Website,Founders
Neptune.io,Inactive,S14,11,http://neptune.io,Kiran Gollu (https://www.linkedin.com/in/kirangollu/ https://twitter.com/neptuneio); Satish Talluri (https://www.linkedin.com/in/satishtalluri https://twitter.com/satishtalluri)
Naytev,launched,S14,3,http://naytev.com,Patrick Costello (https://www.linkedin.com/in/costellopj/ https://twitter.com/costellopj); Zack Liscio (https://www.linkedin.com/in/zackliscio/ https://twitter.com/zackliscio); Edward Ridgely (https://www.linkedin.com/in/edwardridgely/ https://www.linkedin.com/in/edwardridgely/); Mike Seid (https://www.linkedin.com/in/mbseid/ https://www.twitter.com/mbseid)
VizeraLabs,Inactive,S14,2,http://vizeralabs.com,Mert Küçük (https://www.linkedin.com/in/mert-kucuk/ )
TAXA Biotechnologies,Inactive,S14,2,http://www.taxa.com,Antony Evans (https://www.linkedin.com/in/antonyevans/ https://twitter.com/yogantony)
Flytenow,Inactive,S14,3,http://flytenow.com,Matt Voska (https://www.linkedin.com/in/voska/ https://twitter.com/mattvoska); Alan Guichard (https://www.linkedin.com/in/alan-guichard-326a4732/ https://www.facebook.com/flytenow); Andrew Mass (https://www.linkedin.com/in/massandrew ); Aakash Patel ( )
Fixed,Inactive,S14,2,http://getfixed.me,DJ Burdick (https://www.linkedin.com/in/djburdick )
Owners Circle,Startup,S14,2,https://www.ownerscircle.com,Matthew Christen (https://www.linkedin.com/in/matthew-christen-93972186/ ); Broderick McClinton (https://www.linkedin.com/in/broderick-mcclinton-45708a11 ); Eric Sonnier (https://www.linkedin.com/in/ericsonnier )
Doblet,,S14,2,http://doblet.com,Jeff Chang (http://www.linkedin.com/in/jechang/ ); Doktor Gurson (https://www.linkedin.com/in/doktorgurson/ )
Bikanta,Active,S14,2,http://bikanta.com,Ambika Bumb (https://www.linkedin.com/in/ambikabumb )
SpringWit,,S14,0,http://springwit.com,Marc Flajolet (https://www.linkedin.com/in/marcflajolet/ https://twitter.com/marcflajolet)
Bannerman,Inactive,S14,3,https://www.bannerman.com,Johnny Chin (https://www.linkedin.com/in/john-chen-63175212 ); Antoine de Chevigné (https://www.linkedin.com/in/adechevigne/ )
